id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying
312,@VivinBkl-h9r,nice,nice,nice,nice,nice,0,safe,non-cyberbullying,,0
313,@Arledittoo,pharsa mati di base pasti bakalan fyp 1 bulan😂😂😂😂,pharsa mati di base pasti bakalan fyp bulan,pharsa mati di base pasti bakalan fyp bukan,pharsa mati base bakalan fyp bukan,pharsa mati base bakal fyp bukan,5,moderate_toxic,cyberbullying,mati(extreme:5),1
314,@Whoisme932,Wkwkwkwkw mid jago mati di base,wkwkwkwkw mid jago mati di base,wkwkwkwkw mid jago mati di base,wkwkwkwkw mid jago mati base,wkwkwkwkw mid jago mati base,5,moderate_toxic,cyberbullying,mati(extreme:5),1
315,@DadaPaha-mi8pl,"Terimakasih RINZ sudah ""menunjukan"" kalo Onic Id itu ""Gak jago"",  dan Terimakasig juga untuk RINZ sudah mau di Gayang di dalam Base RRQ. 
Akhir nya tetap tidur dengan Nyenyak,  soal nya kaum Hama ngeringkuk di dalam GOA!!  😂",terimakasih rinz sudah menunjukan kalo onic id itu gak jago dan terimakasig juga untuk rinz sudah mau di gayang di dalam base rrq akhir nya tetap tidur dengan nyenyak soal nya kaum hama ngeringkuk di dalam goa,terima kasih rinz sudah menunjukan kalau onic id itu tidak jago dan terima kasih juga untuk rinz sudah mau di yang di dalam base rrq akhir ya tetap tidur dengan nyenyak soal ya kaum hama ngeringkuk di dalam goa,terima kasih rinz menunjukan kalau onic id tidak jago terima kasih untuk rinz mau yang dalam base rrq akhir tetap tidur nyenyak soal kaum hama ngeringkuk dalam goa,terima kasih rinz tunjuk kalau onic id tidak jago terima kasih untuk rinz mau yang dalam base rrq akhir tetap tidur nyenyak soal kaum hama ngeringkuk dalam goa,0,safe,non-cyberbullying,,0
316,@JeffriSlackware,Wkwkwkwkw Rinz Mana Suara Sombongnya ? Dan Rasain Tuh Milih Toy Yang Ada Memalukan Wkwkwk,wkwkwkwkw rinz mana suara sombongnya dan rasain tuh milih toy yang ada memalukan wkwkwk,wkwkwkwkw rinz mana suara sombongnya dan rasain tuh milih toy yang ada memalukan wkwkwk,wkwkwkwkw rinz mana suara sombongnya rasain tuh milih toy ada memalukan wkwkwk,wkwkwkwkw rinz mana suara sombong rasain tuh milih toy ada malu wkwkwk,0,safe,non-cyberbullying,,0
317,@zulrifqi9872,"onic it udah terbiasa lawan tim2 kuat ph, udah g level ama tim indo",onic it udah terbiasa lawan tim kuat ph udah g level ama tim indo,onic it sudah terbiasa lawan tim kuat ph sudah g level sama tim indo,onic it terbiasa lawan tim kuat ph g level sama tim indo,onic it biasa lawan tim kuat ph g level sama tim indo,0,safe,non-cyberbullying,,0
318,@zulrifqi9872,"onic it udah terbiasa lawan tim2 kuat ph, udah g level ama tim indo",onic it udah terbiasa lawan tim kuat ph udah g level ama tim indo,onic it sudah terbiasa lawan tim kuat ph sudah g level sama tim indo,onic it terbiasa lawan tim kuat ph g level sama tim indo,onic it biasa lawan tim kuat ph g level sama tim indo,0,safe,non-cyberbullying,,0
319,@YosaAnitha,dah gua bilang player sekosisten gini dicamatin 😂 Seneng banget gua kalau rrq kalaj,dah gua bilang player sekosisten gini dicamatin seneng banget gua kalau rrq kalaj,sudah saya bilang player sekosisten gini dicamatin seneng banget saya kalau rrq kalau,bilang player sekosisten gini dicamatin seneng banget saya kalau rrq kalau,bilang player sekosisten gin dicamatin neng banget saya kalau rrq kalau,0,safe,non-cyberbullying,,0
320,@WahyuIndra-p7e,Ini kenapa ga offline di venue guys mainya?,ini kenapa ga offline di venue guys mainya,ini kenapa tidak offline di venue guys mainya,kenapa offline venue guys mainya,kenapa offline venue guys mai,0,safe,non-cyberbullying,,0
321,@lordboros138,"Lebih salut ama lutpi yg dulu masih terbayang2 ama buts awal debut nya, yg sekarang improve nya gila sih salut buat lutpi 🔥🔥",lebih salut ama lutpi yg dulu masih terbayang ama buts awal debut nya yg sekarang improve nya gila sih salut buat lutpi,lebih salut sama lutpi yang dulu kasih terbayang sama buts awal debut ya yang sekarang improve ya gila sih salut buat lutpi,lebih salut sama lutpi dulu kasih terbayang sama buts awal debut yang sekarang improve gila sih salut buat lutpi,lebih salut sama lutpi dulu kasih bayang sama buts awal debut yang sekarang improve gila sih salut buat lutpi,0,safe,non-cyberbullying,,0
322,@bosanganteng6494,"RRQ kebanyakan Gonta ganti player ngak mau berproses setiap kalah ganti terus gmn mau menang, pusing liat RRQ ganti player tetap aja hasilnya minus.",rrq kebanyakan gonta ganti player ngak mau berproses setiap kalah ganti terus gmn mau menang pusing liat rrq ganti player tetap aja hasilnya minus,rrq kebanyakan gonta nanti player ngak mau berproses setiap kalau nanti terus bagaimana mau memang pusing liat rrq nanti player tetap saja hasilnya minus,rrq kebanyakan gonta player ngak mau berproses kalau terus bagaimana mau memang pusing liat rrq player tetap hasilnya minus,rrq banyak gonta player ngak mau proses kalau terus bagaimana mau memang pusing liat rrq player tetap hasil minus,0,safe,non-cyberbullying,,0
323,@mr.lchino7222,"Midlinernya suruh byk belajar lg, belajar sm lutpi noh. Cepet improve. Season ini hijume sm cyrus yg bs imbangin sanz",midlinernya suruh byk belajar lg belajar sm lutpi noh cepet improve season ini hijume sm cyrus yg bs imbangin sanz,midlinernya suruh byk belajar lagi belajar sm lutpi noh cepet improve season ini hijume sm cyrus yang bisa imbangin sanz,midlinernya suruh byk belajar belajar sm lutpi noh cepet improve season hijume sm cyrus bisa imbangin sanz,midlinernya suruh byk ajar ajar sm lutpi noh cepet improve season hijume sm cyrus bisa imbangin sanz,0,safe,non-cyberbullying,,0
324,@HiếuHuỳnh-u5x,"Gak sabar share ke temen soal ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴! Ceritanya bikin penasaran, kemenangannya bikin happy! ❤️",gak sabar share ke temen soal ceritanya bikin penasaran kemenangannya bikin happy,tidak sabar share ke temen soal ceritanya bikin penasaran kemenangannya bikin happy,sabar share temen soal ceritanya bikin penasaran kemenangannya bikin happy,sabar share temen soal cerita bikin penasaran menang bikin happy,0,safe,non-cyberbullying,,0
325,@AriefPrasetyo-j7y,"Tolong ye untuk para caster lebih netral  dalam ngecast game jangan terlalu berat ke rrq terutama ranger emas lim komcul, untuk kb netral.. gua perhatiin baik² match ini lbh banyak ngomongin rrq nya drpd onicnya",tolong ye untuk para caster lebih netral dalam ngecast game jangan terlalu berat ke rrq terutama ranger emas lim komcul untuk kb netral gua perhatiin baik match ini lbh banyak ngomongin rrq nya drpd onicnya,tolong ye untuk para caster lebih netral dalam ngecast game jangan terlalu berat ke rrq terutama ranger emas lim komcul untuk kb netral saya perhatiin baik match ini lbh banyak ngomongin rrq ya drpd onicnya,ye para caster lebih netral ngecast game jangan terlalu berat rrq terutama ranger emas lim komcul kb netral perhatiin baik match lbh banyak ngomongin rrq drpd onicnya,ye para caster lebih netral ngecast game jangan terlalu berat rrq utama ranger emas lim komcul kb netral perhatiin baik match lbh banyak ngomongin rrq drpd onicnya,0,safe,non-cyberbullying,,0
326,@gilanggr799,Rinz ngapain sih?,rinz ngapain sih,rinz ngapain sih,rinz ngapain sih,rinz ngapain sih,0,safe,non-cyberbullying,,0
327,@ahmadharisjanuarsyahidan9125,Rinz mati di base tuh? Wkwkwkwkwkwk,rinz mati di base tuh wkwkwkwkwkwk,rinz mati di base tuh wkwkwkwkwkwk,rinz mati base tuh wkwkwkwkwkwk,rinz mati base tuh wkwkwkwkwkwk,5,moderate_toxic,cyberbullying,mati(extreme:5),1
328,@AlivaPutri24,Rinz BOTT,rinz bott,rinz bott,rinz bott,rinz bott,0,safe,non-cyberbullying,,0
329,@valendanurahmatan3330,maen gold gapernah rotasi si toyy kek maen brawl tapi di agungkan bgt sama kingdom wkwkwkwk,maen gold gapernah rotasi si toyy kek maen brawl tapi di agungkan bgt sama kingdom wkwkwkwk,maen gold gapernah rotasi si toyy seperti maen brawl tapi di agungkan banget sama kingdom wkwkwkwk,maen gold gapernah rotasi si toyy maen brawl di agungkan banget sama kingdom wkwkwkwk,maen gold gapernah rotasi si toyy maen brawl di agung banget sama kingdom wkwkwkwk,0,safe,non-cyberbullying,,0
330,@FeyJr,Bang Ler ❤,bang ler,bang ler,bang ler,bang ler,0,safe,non-cyberbullying,,0
331,@reeey4202,Geloo lutpeeee 💯💯💯,geloo lutpeeee,geloo lutpeeee,geloo lutpeeee,geloo lutpeeee,0,safe,non-cyberbullying,,0
332,@anitasari3042,ngapain si rrq😂😂,ngapain si rrq,ngapain si rrq,ngapain si rrq,ngapain si rrq,0,safe,non-cyberbullying,,0
333,@mairah_ira,Gok gok gok😂,gok gok gok,gok gok gok,gok gok gok,gok gok gok,0,safe,non-cyberbullying,,0
334,@dymasfrandika5444,"RRQ SAHRONI, 
RRQ EKO
RRQ KUYA
Kenapa gak di mainin",rrq sahroni rrq eko rrq kuya kenapa gak di mainin,rrq sahroni rrq eko rrq kuya kenapa tidak di mainin,rrq sahroni rrq eko rrq kuya tidak mainin,rrq sahroni rrq eko rrq kuya tidak mainin,0,safe,non-cyberbullying,,0
335,@anitasari3042,apaansi fani maennya kabur 😂😂,apaansi fani maennya kabur,apaansi fani maennya kabur,apaansi fani maennya kabur,apaansi fani maennya kabur,0,safe,non-cyberbullying,,0
336,@anjaygurinjay6445,Rrq mulu yg di sanjung dih casterr,rrq mulu yg di sanjung dih casterr,rrq mulu yang di sanjung dih casterr,rrq mulu di sanjung dih casterr,rrq mulu di sanjung dih casterr,0,safe,non-cyberbullying,,0
337,@mairah_ira,Mulai sisen ini gw pens onic,mulai sisen ini gw pens onic,mulai sisen ini saya pens onic,mulai sisen saya pens onic,mulai sisen saya pens onic,0,safe,non-cyberbullying,,0
338,@yoorniy,lutpi gg,lutpi gg,lutpi gg,lutpi gg,lutpi gg,0,safe,non-cyberbullying,,0
339,@vipoasgart4296,7:03 ngapain siduren ini,ngapain siduren ini,ngapain siduren ini,ngapain siduren,ngapain siduren,0,safe,non-cyberbullying,,0
340,@anitasari3042,maen ko ngepush rrq b o t 😂😂,maen ko ngepush rrq b o t,maen ko ngepush rrq b o t,maen ko ngepush rrq b o t,maen ko ngepush rrq b o t,0,safe,non-cyberbullying,,0
341,@ZullsCoituz,Dulu kingdom bilang toyy lebih jago dari Skylar tapi buktinya🗿,dulu kingdom bilang toyy lebih jago dari skylar tapi buktinya,dulu kingdom bilang toyy lebih jago dari skylar tapi buktinya,dulu kingdom bilang toyy lebih jago skylar buktinya,dulu kingdom bilang toyy lebih jago skylar bukti,0,safe,non-cyberbullying,,0
342,@RafiAlbar-l2i,Toy epik liat cara mainnya,toy epik liat cara mainnya,toy epik liat cara mainnya,toy epik liat cara mainnya,toy epik liat cara main,0,safe,non-cyberbullying,,0
343,@Ferrysurya-g8e,"Dah tau Fanny indo hanyalah dongeng, eh malah pick Fanny 😂😂😂",dah tau fanny indo hanyalah dongeng eh malah pick fanny,sudah tahu fanny indo hanyalah dongeng eh malah pick fanny,tahu fanny indo hanyalah dongeng eh malah pick fanny,tahu fanny indo hanya dongeng eh malah pick fanny,0,safe,non-cyberbullying,,0
344,@RezaKhm88,Gampang gini,gampang gini,gampang gini,gampang gini,gampang gin,0,safe,non-cyberbullying,,0
345,@afifsatriawan8359,Tu sutzujin kaga dimainin,tu sutzujin kaga dimainin,tu sutzujin kaga dimainin,tu sutzujin kaga dimainin,tu sutzujin kaga dimainin,0,safe,non-cyberbullying,,0
346,@AditiaLaata,Fanny Farming Minions. 🗿,fanny farming minions,fanny farming minions,fanny farming minions,fanny farming minions,0,safe,non-cyberbullying,,0
347,@afifsatriawan8359,Ketemu mantan nih wkwk,ketemu mantan nih wkwk,ketemu mantan nih wkwk,ketemu mantan nih wkwk,ketemu mantan nih wkwk,0,safe,non-cyberbullying,,0
348,@ikyacara,"Lutpii udah layak di adu di panggung intern, ngeri",lutpii udah layak di adu di panggung intern ngeri,lutpii sudah layak di adu di panggung intern ngeri,lutpii layak adu panggung intern ngeri,lutpii layak adu panggung intern ngeri,0,safe,non-cyberbullying,,0
349,@jendeight4111,Raja jadi²an ingin lawan raja sesungguhnya = DIJADIKAN TAMAN BERMAIN SAMA ONIC... RINZ KOCAK 😂,raja jadian ingin lawan raja sesungguhnya dijadikan taman bermain sama onic rinz kocak,raja jadian ingin lawan raja sesungguhnya dijadikan taman bermain sama onic rinz kocak,raja jadian lawan raja sesungguhnya dijadikan taman bermain sama onic rinz kocak,raja jadi lawan raja sungguh jadi taman main sama onic rinz kocak,0,safe,non-cyberbullying,,0
350,@Mingoo0406,Enak ga dikasih paham 😜👆😜👆😜👆,enak ga dikasih paham,enak tidak kasih paham,enak kasih paham,enak kasih paham,0,safe,non-cyberbullying,,0
351,@drayramance1474,Kocak rrq,kocak rrq,kocak rrq,kocak rrq,kocak rrq,0,safe,non-cyberbullying,,0
352,@Funnyuhuy,sekarang konsepnya kayak nongkrong di cafe gitu ya,sekarang konsepnya kayak nongkrong di cafe gitu ya,sekarang konsepnya seperti nongkrong di cafe gitu ya,sekarang konsepnya nongkrong cafe gitu,sekarang konsep nongkrong cafe gitu,0,safe,non-cyberbullying,,0
353,@nappzzyofficial2711,"Kok saya lihat RRQ sekarang agak aneh, engga sekompak dulu",kok saya lihat rrq sekarang agak aneh engga sekompak dulu,kok saya lihat rrq sekarang agak aneh engga sekompak dulu,kok lihat rrq sekarang aneh engga sekompak dulu,kok lihat rrq sekarang aneh engga kompak dulu,0,safe,non-cyberbullying,,0
354,@AllenRawk,Ngan hayoh weh “Terbuang dalam waktu” ALAY,ngan hayoh weh terbuang dalam waktu alay,dengan hayoh weh terbuang dalam waktu alay,hayoh weh terbuang waktu alay,hayoh weh buang waktu alay,0,safe,non-cyberbullying,,0
355,@Permana07-s5f,Malu gk ppq,malu gk ppq,malu tidak ppq,malu ppq,malu ppq,0,safe,non-cyberbullying,,0
356,@jendeight4111,Haduh RRQ 😂😂😂😂,haduh rrq,haduh rrq,haduh rrq,haduh rrq,0,safe,non-cyberbullying,,0
357,@Silegettereprahman,gue gak mau ngata²in rrq tapi sangat disayangkan skaylar dilepas  keep strong aja buat rrq,gue gak mau ngatain rrq tapi sangat disayangkan skaylar dilepas keep strong aja buat rrq,saya tidak mau ngatain rrq tapi sangat disayangkan skaylar dilepas keep strong saja buat rrq,tidak mau ngatain rrq sangat disayangkan skaylar dilepas keep strong buat rrq,tidak mau ngatain rrq sangat sayang skaylar lepas keep strong buat rrq,0,safe,non-cyberbullying,,0
358,@Silegettereprahman,gue gak mau ngata²in rrq tapi sangat disayangkan skaylar dilepas  keep strong aja buat rrq,gue gak mau ngatain rrq tapi sangat disayangkan skaylar dilepas keep strong aja buat rrq,saya tidak mau ngatain rrq tapi sangat disayangkan skaylar dilepas keep strong saja buat rrq,tidak mau ngatain rrq sangat disayangkan skaylar dilepas keep strong buat rrq,tidak mau ngatain rrq sangat sayang skaylar lepas keep strong buat rrq,0,safe,non-cyberbullying,,0
359,@antirrq123,"Ga dkung rrq sejak ada rinz , ... Kbnyakan omong jir , isinya gkada",ga dkung rrq sejak ada rinz kbnyakan omong jir isinya gkada,tidak dkung rrq sejak ada rinz kbnyakan omong jir isinya gkada,dkung rrq sejak rinz kbnyakan omong jir isinya gkada,dkung rrq sejak rinz kbnyakan omong jir isi gkada,0,safe,non-cyberbullying,,0
360,@mbekhoky1039,mana yang kemaren² ngebanding bandingin Skylar sama toy kok ga ada apa²nya di hadapan Skylar 😂,mana yang kemaren ngebanding bandingin skylar sama toy kok ga ada apanya di hadapan skylar,mana yang kemaren ngebanding bandingin skylar sama toy kok tidak ada apanya di hadapan skylar,mana kemaren ngebanding bandingin skylar sama toy kok ada apanya hadapan skylar,mana kemaren ngebanding bandingin skylar sama toy kok ada apa hadap skylar,0,safe,non-cyberbullying,,0
361,@RonieNurman-f7z,Geloookkk onick cvk,geloookkk onick cvk,geloookkk onick cvk,geloookkk onick cvk,geloookkk onick cvk,0,safe,non-cyberbullying,,0
362,@tentangreptil,Rinz mati di base 😂,rinz mati di base,rinz mati di base,rinz mati base,rinz mati base,5,moderate_toxic,cyberbullying,mati(extreme:5),1
363,@KIWKIW18,Gw paham kenapa Skylar lebih milih ke onic drpd rrq 😂 roster rrq EMG ga jelas 😂,gw paham kenapa skylar lebih milih ke onic drpd rrq roster rrq emg ga jelas,saya paham kenapa skylar lebih milih ke onic drpd rrq roster rrq memang tidak jelas,paham skylar lebih milih onic drpd rrq roster rrq memang jelas,paham skylar lebih milih onic drpd rrq roster rrq memang jelas,0,safe,non-cyberbullying,,0
364,@Noeforger,Counter onic turunin rezz🤣,counter onic turunin rezz,counter onic turunin rezz,counter onic turunin rezz,counter onic turunin rezz,0,safe,non-cyberbullying,,0
365,@AdityaPratama-wv2mt,Gelo lutfi,gelo lutfi,gelo lutfi,gelo lutfi,gelo lutfi,0,safe,non-cyberbullying,,0
366,@Pragoss1910,"Mana yang bilang tembak tembang Toyy Toyy
King skylar nihh",mana yang bilang tembak tembang toyy toyy king skylar nihh,mana yang bilang tembak tembang toyy toyy king skylar nihh,mana bilang tembak tembang toyy toyy king skylar nihh,mana bilang tembak tembang toyy toyy king skylar nihh,0,safe,non-cyberbullying,,0
367,@JembotKuroo,Sudah lah jgn main raja rajaan lagii 😂😂😂,sudah lah jgn main raja rajaan lagii,sudah lah jangan main raja rajaan lagi,lah jangan main raja rajaan,lah jangan main raja raja,0,safe,non-cyberbullying,,0
368,@wonwoojebal,lutpi gila sih gameplaynya... GG piii,lutpi gila sih gameplaynya gg piii,lutpi gila sih gameplaynya gg piii,lutpi gila sih gameplaynya gg piii,lutpi gila sih gameplaynya gg piii,0,safe,non-cyberbullying,,0
369,@Daji-b6j,Kedua nya tim favorit gua keren onic best RRQ,kedua nya tim favorit gua keren onic best rrq,kedua ya tim favorit saya keren onic best rrq,kedua tim favorit keren onic best rrq,dua tim favorit keren onic best rrq,0,safe,non-cyberbullying,,0
370,@tfibizza6361,Kasian rinz di ayam ayamin sanz,kasian rinz di ayam ayamin sanz,kasian rinz di ayam ayamin sanz,kasian rinz ayam ayamin sanz,kasi rinz ayam ayamin sanz,0,safe,non-cyberbullying,,0
371,@Ceritaanku,FIXX INI MAH ONIC LAGI ONIC LAGI YANG JUARA. TUTUP AJA MPL. GMNA MAU KE KANCAH NASIONAL JUARANYA JUGA ITU ITU AJA,fixx ini mah onic lagi onic lagi yang juara tutup aja mpl gmna mau ke kancah nasional juaranya juga itu itu aja,fixx ini mah onic lagi onic lagi yang juara tutup saja mpl gmna mau ke kancah nasional juaranya juga itu itu saja,fixx mah onic onic yang juara tutup mpl gmna mau kancah nasional juaranya itu saja,fixx mah onic onic yang juara tutup mpl gmna mau kancah nasional juara itu saja,0,safe,non-cyberbullying,,0
372,@piterdavinci.n5944,STRESS LUTPII,stress lutpii,stress lutpii,stress lutpii,stress lutpii,0,safe,non-cyberbullying,,0
373,@sofyanarif3859,push mmr pharsa,push mmr pharsa,push mmr pharsa,push mmr pharsa,push mmr pharsa,0,safe,non-cyberbullying,,0
374,@SNORLAX315,Lokal...!!,lokal,lokal,lokal,lokal,0,safe,non-cyberbullying,,0
375,@joey237dropdead,Lutpi improve bget sih❤,lutpi improve bget sih,lutpi improve banget sih,lutpi improve banget sih,lutpi improve banget sih,0,safe,non-cyberbullying,,0
376,@Tsaqibofficial,loh mana kok gak ada fans ppq yg komen wkwkw,loh mana kok gak ada fans ppq yg komen wkwkw,loh mana kok tidak ada fans ppq yang komen wkwkw,loh mana kok ada fans ppq komen wkwkw,loh mana kok ada fans ppq komen wkwkw,0,safe,non-cyberbullying,,0
377,@SuperYrag-A10,Zunesh di ospek kairi hahhaa 😂,zunesh di ospek kairi hahhaa,zunesh di ospek kairi hahhaa,zunesh ospek kairi hahhaa,zunesh ospek kairi hahhaa,0,safe,non-cyberbullying,,0
378,@ferdi_putra,KASIAN KALAH RRQ🤡,kasian kalah rrq,kasian kalau rrq,kasian kalau rrq,kasi kalau rrq,0,safe,non-cyberbullying,,0
379,@DhandiDwiPutra,3 kata lucu : toyy diatas skylar,kata lucu toyy diatas skylar,kata lucu toyy diatas skylar,kata lucu toyy diatas skylar,kata lucu toyy atas skylar,0,safe,non-cyberbullying,,0
380,@MuhammadfirdausHarun,2 tim makanan srg 😂,tim makanan srg,tim makanan srg,tim makanan srg,tim makan srg,0,safe,non-cyberbullying,,0
381,@hilmanpratama6805,Ternyata bener fanny di indonesia cuma dongeng,ternyata bener fanny di indonesia cuma dongeng,ternyata benar fanny di indonesia cuma dongeng,ternyata benar fanny indonesia cuma dongeng,nyata benar fanny indonesia cuma dongeng,0,safe,non-cyberbullying,,0
382,@Moseswilliam_1,Mvp lutpi,mvp lutpi,mvp lutpi,mvp lutpi,mvp lutpi,0,safe,non-cyberbullying,,0
383,@faxonfaxon,ga berasa royal derby nya😂,ga berasa royal derby nya,tidak berasa royal derby ya,berasa royal derby,asa royal derby,0,safe,non-cyberbullying,,0
384,@galangjojo,rinz mau di tutorin potitioning pharsa kah? 😂,rinz mau di tutorin potitioning pharsa kah,rinz mau di tutorin potitioning pharsa kah,rinz mau tutorin potitioning pharsa,rinz mau tutorin potitioning pharsa,0,safe,non-cyberbullying,,0
385,@Lordfey03,Kami kingdom pamit😊😊,kami kingdom pamit,kami kingdom pamit,kingdom pamit,kingdom pamit,0,safe,non-cyberbullying,,0
386,@gekkosova,gokil lutpi,gokil lutpi,gokil lutpi,gokil lutpi,gokil lutpi,0,safe,non-cyberbullying,,0
387,@prastibkk-yb8og,Alhamdulillah sang raja langit onic 🇮🇩🔥menang skor 2.0 pempek jdi badut Konoha 🤡 goonic 🇮🇩,alhamdulillah sang raja langit onic menang skor pempek jdi badut konoha goonic,alhamdulillah sang raja langit onic memang skor pempek jadi badut konoha goonic,alhamdulillah sang raja langit onic memang skor pempek jadi badut konoha goonic,alhamdulillah sang raja langit onic memang skor pempek jadi badut konoha goonic,0,safe,non-cyberbullying,,0
388,@srinzsipalingjago,"RINZ MIDLANER PALING JAGO, CATAT.",rinz midlaner paling jago catat,rinz midlaner paling jago catat,rinz midlaner paling jago catat,rinz midlaner paling jago catat,0,safe,non-cyberbullying,,0
389,@スタン-433,Wkwkw zunesh kocakk,wkwkw zunesh kocakk,wkwkw zunesh kocakk,wkwkw zunesh kocakk,wkwkw zunesh kocakk,0,safe,non-cyberbullying,,0
390,@aichery3871,Si rinz ini oon bngt aj9 gk bisa posisi,si rinz ini oon bngt aj gk bisa posisi,si rinz ini oon banget saja tidak bisa posisi,si rinz oon banget tidak posisi,si rinz oon banget tidak posisi,0,safe,non-cyberbullying,,0
391,@risconosa9726,Rraqontol out rinz,rraqontol out rinz,rraqontol out rinz,rraqontol out rinz,rraqontol out rinz,0,safe,non-cyberbullying,,0
392,@khairulsriwani7316,Skylar memang gak diragukan udh masak pengalaman👍,skylar memang gak diragukan udh masak pengalaman,skylar memang tidak diragukan sudah masak pengalaman,skylar memang diragukan masak pengalaman,skylar memang ragu masak alam,0,safe,non-cyberbullying,,0
393,@raviicsan6406,Lutpi jago bangett woii wkwkw,lutpi jago bangett woii wkwkw,lutpi jago banget woii wkwkw,lutpi jago banget woii wkwkw,lutpi jago banget woii wkwkw,0,safe,non-cyberbullying,,0
394,@hiaenus9299,Kalo gua jadi rinz malu sih dibunuh dalam base wkwkwkk efek kiboyy,kalo gua jadi rinz malu sih dibunuh dalam base wkwkwkk efek kiboyy,kalau saya jadi rinz malu sih dibunuh dalam base wkwkwkk efek kiboyy,kalau jadi rinz malu sih dibunuh base wkwkwkk efek kiboyy,kalau jadi rinz malu sih bunuh base wkwkwkk efek kiboyy,5,moderate_toxic,cyberbullying,bunuh(extreme:5),1
395,@rexydwijaya1967,MAMPOS KAU PPQ,mampos kau ppq,mampos kamu ppq,mampos kamu ppq,mampos kamu ppq,0,safe,non-cyberbullying,,0
396,@ramadhanisaputra9455,"Hyper apaan ini buset,kaya bocah epic main nya,coach rrq gajelas sumpah,padahal roster kmrn ngga jelek jelek bngt malah diganti roster nya idiot",hyper apaan ini busetkaya bocah epic main nyacoach rrq gajelas sumpahpadahal roster kmrn ngga jelek jelek bngt malah diganti roster nya idiot,hyper apaan ini busetkaya bocah epic main nyacoach rrq gajelas sumpahpadahal roster kmrn ngga jelek jelek banget malah diganti roster ya idiot,hyper apaan busetkaya bocah epic main nyacoach rrq gajelas sumpahpadahal roster kmrn ngga jelek jelek banget malah diganti roster idiot,hyper apa busetkaya bocah epic main nyacoach rrq gajelas sumpahpadahal roster kmrn ngga jelek jelek banget malah ganti roster idiot,8,severe_toxic,cyberbullying,jelek(personal:2); jelek(personal:2); idiot(personal:4),1
397,@Haji_abu01,19:02 ahh lutpi moment🎉🎉🎉,ahh lutpi moment,ahh lutpi moment,ahh lutpi moment,ahh lutpi moment,0,safe,non-cyberbullying,,0
398,@gusnanda6582,Makan lah itu jual skylar,makan lah itu jual skylar,akan lah itu jual skylar,lah jual skylar,lah jual skylar,0,safe,non-cyberbullying,,0
399,@FahridermawanFahri,Sutsujin mna bg,sutsujin mna bg,sutsujin mna bg,sutsujin mna bg,sutsujin mna bg,0,safe,non-cyberbullying,,0
400,@OI-df1mf,Gelooo skylarr improve bgt + tanpa death,gelooo skylarr improve bgt tanpa death,gelooo skylarr improve banget tanpa death,gelooo skylarr improve banget death,gelooo skylarr improve banget death,0,safe,non-cyberbullying,,0
401,@geziaramadhanaputra9269,mati di base sendiri kocak,mati di base sendiri kocak,mati di base sendiri kocak,mati base sendiri kocak,mati base sendiri kocak,5,moderate_toxic,cyberbullying,mati(extreme:5),1
402,@lukmannulhakim9427,Si toy gak bisa gerak di karungin sama Skylar 😂,si toy gak bisa gerak di karungin sama skylar,si toy tidak bisa gerak di karungin sama skylar,si toy bisa gerak karungin sama skylar,si toy bisa gerak karungin sama skylar,0,safe,non-cyberbullying,,0
403,@ridhobulos1705,7:46 mahal lutpi,mahal lutpi,mahal lutpi,mahal lutpi,mahal lutpi,0,safe,non-cyberbullying,,0
404,@adeindra8601,di kandangin lutpi😂,di kandangin lutpi,di kandangin lutpi,kandangin lutpi,kandangin lutpi,0,safe,non-cyberbullying,,0
405,@zenkngarumaya6815,"Singkat, padat, ga bohong ini mah😂",singkat padat ga bohong ini mah,singkat padat tidak bohong ini mah,singkat padat bohong mah,singkat padat bohong mah,0,safe,non-cyberbullying,,0
406,@shandextv,guru dan murid❤,guru dan murid,guru dan murid,guru murid,guru murid,0,safe,non-cyberbullying,,0
407,@WahyuYantu,"KATA KATA LUCU DARI KINGDOM ""TOYY LEBIH BAIK DARI SKYLAR"" EH MENDING PADA SADAR DAH SKYLAR SALAH SATU GOLD LANER YANG DIAKUI DUNIA DIBANDINGIN AMA TOYY YANG GADAA APA"" NYA?😂😂",kata kata lucu dari kingdom toyy lebih baik dari skylar eh mending pada sadar dah skylar salah satu gold laner yang diakui dunia dibandingin ama toyy yang gadaa apa nya,kata kata lucu dari kingdom toyy lebih baik dari skylar eh mending pada sadar sudah skylar salah satu gold laner yang diakui dunia dibandingin sama toyy yang gadaa apa ya,kata kata lucu kingdom toyy lebih baik skylar eh mending sadar skylar salah satu gold laner diakui dunia dibandingin sama toyy gadaa apa,kata kata lucu kingdom toyy lebih baik skylar eh mending sadar skylar salah satu gold laner aku dunia dibandingin sama toyy gadaa apa,0,safe,non-cyberbullying,,0
408,@AditOye-p1y,Gua tdi nya fans RRQ mhon ijin pindah ke ONIC😂,gua tdi nya fans rrq mhon ijin pindah ke onic,saya tdi ya fans rrq mhon ijin pindah ke onic,tdi fans rrq mhon ijin pindah onic,tdi fans rrq mhon ijin pindah onic,0,safe,non-cyberbullying,,0
